Name,Дата обновления,Дата создания,Категория,Теги
Как составить резюме,"August 7, 2024","August 7, 2024",HR-материал,Резюме
Как составить резюме (на английском),,,HR-материал,Резюме
Как оформить профиль на GitHub,,,HR-материал,Резюме
Как оформить LinkedIn,,,HR-материал,Резюме
Сопроводительное письмо,,,HR-материал,Резюме
Поиск вакансий (Россия),,,HR-материал,Вакансии
Поиска вакансий (не Россия),,,HR-материал,Вакансии
Реферальные программы,,,HR-материал,
Статья про soft-skills,,,HR-материал,Полезное
Telegram-каналы (полезные материалы по DS),,,HR-материал,Полезное
Программирование на Python,,,DS-материал,
Основы Linux,,,DS-материал,
Основы Git,,,DS-материал,
Визуализация данных,,,DS-материал,
Математика,,,DS-материал,
Статистика,,,DS-материал,
SQL,,,DS-материал,
ClickHouse,,,DS-материал,
Анализ данных в Pandas,,,DS-материал,
Как проводить EDA,,,DS-материал,
AB-тестирование,,,DS-материал,
Яндекс Толока,,,Проекты,
Классический ML,,,DS-материал,
"Глубокое обучение ",,,DS-материал,
Компьютерное зрение,,,DS-материал,
"NLP ",,,DS-материал,
"Графы ",,,DS-материал,
"MLFlow ",,,DS-материал,
"BI-инструменты ",,,DS-материал,
SQL,,,MOCK-интервью,
"Как работать в PyCharm ",,,DS-материал,
"Где брать данные? ",,,Проекты,
"Временные ряды ",,,DS-материал,
Алгоритмы,,,DS-материал,
"Тестирование ",,,DS-материал,
Docker,,,DS-материал,
"Рекомендательные системы ",,,DS-материал,
"Ценообразование ",,,DS-материал,
"Мониторинг ",,,DS-материал,
"ML System Design ",,,DS-материал,
PySpark & Hadoop,,,DS-материал,
Классический ML,,,MOCK-интервью,
"Data Analyst ",,,Тестовые задания,
CV Engineer,,,Тестовые задания,
NLP Engineer,,,Тестовые задания,
ML Engineer,,,Тестовые задания,
"Data Scientist ",,,Тестовые задания,
Rubbles Middle/Senior DS,,,Собеседования,
AirFlow,,,DS-материал,
RL,,,DS-материал,
"Подготовка к интервью ",,,HR-материал,
"Интерпретация моделей  ",,,DS-материал,